Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.54788966298731
89.99,14.323944950992633,14.223997690556114
89.985,9.549296694596801,9.449402610209958
89.98,7.161972584579396,7.062131981556275
89.975,5.729578133113367,5.6297913155072745
89.97,4.774648510923025,4.6749157815230795
89.965,4.092555934033074,3.9928775943608192
89.96,3.5809865104558702,3.481362860761929
89.955,3.1830991890871654,3.083530528348014
89.95,2.864789339264409,2.7652759651791583
89.945,2.6043540142023445,2.5048962231896232
89.94,2.387324582710799,2.287922669905633
89.935,2.203684300119653,2.104338559370469
89.93,2.0462783488073937,1.946989072673082
89.925,1.9098598625182446,1.8106273422652195
89.92,1.7904936915603722,1.6913182171597452
89.915,1.6851706038164938,1.5860524639412958
89.91,1.5915500854176114,1.4924895674400893
89.905,1.5077843622566205,1.4087817522455401
89.9,1.4323952150478383,1.3334507977659142
89.895,1.364185990083807,1.265300048985121
89.89,1.302177607058425,1.2033504242859894
89.885,1.2455612605014348,1.146793116884742
89.88,1.1936629458542878,1.0949541209069422
89.875,1.1459164992878033,1.0472672712052182
89.87,1.1018428591003675,1.003253504757528
89.865,1.061033935694309,0.9625047306435368
89.86,1.0231399379859094,0.9246711564547998
89.855,0.9878593219374809,0.8894512368267788
89.85,0.9549307493830269,0.8565836322646028
89.845,0.9241266032102279,0.8258407243251684
89.84,0.8952477184458044,0.7970233467024754
89.835,0.8681190713253599,0.7699564742975552
89.83,0.8425862291156025,0.7444856730407984
89.825,0.8185124085384741,0.720474158316045
89.82,0.7957760244579231,0.6978003436475047
89.815,0.7742686360769301,0.6763557868968281
89.81,0.7538932174192154,0.6560434607447692
89.805,0.7345626938906813,0.6367762892528548
89.8,0.71619869835664,0.6184759039405163
89.795,0.6987305092565195,0.6010715818999097
89.79,0.682094140416469,0.5844993356086073
89.785,0.6662315578648567,0.5687011297450945
89.78,0.6510900034456533,0.5536242048022753
89.775,0.6366214086166989,0.5392204908857039
89.77,0.6227818847090653,0.5254460979730968
89.765,0.6095312782596898,0.5122608712469683
89.76,0.5968327819274324,0.49962800201071955
89.755,0.5846525930520617,0.48751368624775665
89.75,0.5729596131861655,0.47588682415339406
89.745,0.5617251829762463,0.464718755015999
