Viewing_Angle(deg),Ground_depth(m),MAE(m)
89.995,28.647889792902188,28.547889866208035
89.99,14.323944950992633,14.223944913496998
89.985,9.549296694596801,9.449296546310455
89.98,7.161972584579396,7.061972325513146
89.975,5.729578133113367,5.629577763278074
89.97,4.774648510923025,4.6746480303295925
89.965,4.092555934033074,3.9925553426924303
89.96,3.5809865104558702,3.480985808378966
89.955,3.1830991890871654,3.0830983762849624
89.95,2.864789339264409,2.764788415747874
89.945,2.6043540142023445,2.504352979982443
89.94,2.387324582710799,2.2873234377984946
89.935,2.203684300119653,2.1036830445258974
89.93,2.0462783488073937,1.946276982543131
89.925,1.9098598625182446,1.8098583855944073
89.92,1.7904936915603722,1.69049210398788
89.915,1.6851706038164938,1.5851689056062506
89.91,1.5915500854176114,1.4915482765805042
89.905,1.5077843622566205,1.407782442803517
89.9,1.4323952150478383,1.3323931849895863
89.895,1.364185990083807,1.264183849431235
89.89,1.302177607058425,1.2021753558223403
89.885,1.2455612605014348,1.145558898692631
89.88,1.1936629458542878,1.0936604734835456
89.875,1.1459164992878033,1.0459139163659006
89.87,1.1018428591003675,1.0018401656380844
89.865,1.061033935694309,0.9610311317024374
89.86,1.0231399379859094,0.9231370234752552
89.855,0.9878593219374809,0.8878562969188684
89.85,0.9549307493830269,0.8549276138673012
89.845,0.9241266032102279,0.8241233572082552
89.84,0.8952477184458044,0.7952443619684711
89.835,0.8681190713253599,0.768115604383571
89.83,0.8425862291156025,0.7425826517202782
89.825,0.8185124085384741,0.7185087207005451
89.82,0.7957760244579231,0.6957722261883241
89.815,0.7742686360769301,0.6742647273865915
89.81,0.7538932174192154,0.6538891983190522
89.805,0.7345626938906813,0.6345585643915844
89.8,0.71619869835664,0.6161944584694656
89.795,0.6987305092565195,0.5987261589920816
89.79,0.682094140416469,0.5820896797855348
89.785,0.6662315578648567,0.5662269868781427
89.78,0.6510900034456533,0.5510853221138227
89.775,0.6366214086166989,0.536616616950359
89.77,0.6227818847090653,0.5227769827187645
89.765,0.6095312782596898,0.5095262659559129
89.76,0.5968327819274324,0.49682765932059497
89.755,0.5846525930520617,0.4846473601525065
89.75,0.5729596131861655,0.4729542700041585
89.745,0.5617251829762463,0.46171972952197465
89.74,0.5509228476344595,0.4509172839180319
89.735,0.5405281489607233,0.44052247499216923
89.73,0.53051844047348,0.4305126562627532
89.725,0.5208727227080123,0.4208668282649936
89.72,0.511571496161369,0.41156549149586996
89.715,0.5025966297167707,0.40259051483853814
89.71,0.49393124267928434,0.393925017598003
89.705,0.48555959880787153,0.38555326353316677
89.699,0.4758807563252229,0.37587428883103374
89.698,0.47430500675185494,0.37429851722241725
89.697,0.4727396582137721,0.37273314664946566
89.696,0.47118460806917906,0.3711780744703826
89.695,0.4696397550224019,0.3696331993894941
89.694,0.4681049991018936,0.36809842143525257
89.693,0.46658024163866774,0.36657364193867104
89.692,0.4650653852451535,0.36505876351217825
89.691,0.46356033379446027,0.3635536900288834
89.69,0.46206499240004495,0.36205832660224235
89.689,0.4605792673957695,0.36057257956611727
89.688,0.45910306631634423,0.35909635645521754
89.687,0.4576362978781445,0.3576295659859182
89.686,0.4561788719603941,0.35617211803744253
89.685,0.45473069958670786,0.3547239236334052
